ALLELE	#ALLELIC_VARIANTS	#ALLELIC_CALLED	ALL_ALLELIC_CALLED	TOTAL_CALLED	ERROR_CALLED	 ERRORS_CALLED_CONF	ERRORS_CALLED_ALL	MEAN_QUAL_ALLELIC	MEAN_QUAL_ERRORS	MIN_QUAL_ALLELIC	 MAX_QUAL_ERRORS	MEAN_DEPTH
73	1	1	YES	385	381	 99.2%	100.0%	1246.06	78.29	 1246.06	405.64	19.5
74	1	1	YES	377	374	 99.5%	99.7%	661.06	78.67	 661.06	433.64	19.9
75	1	1	YES	330	328	 99.7%	100.0%	831.06	73.44	 831.06	295.64	19.2
76	1	1	YES	354	350	 99.2%	100.0%	461.06	76.31	 461.06	264.64	19.7
77	1	1	YES	416	412	 99.3%	100.0%	1363.06	82.11	 1363.06	479.64	19.9
78	1	1	YES	360	358	 99.7%	100.0%	968.06	76.05	 968.06	348.64	19.4
79	1	1	YES	344	342	 99.7%	100.0%	1122.06	81.14	 1122.06	384.64	19.8
80	1	1	YES	344	341	 99.4%	100.0%	532.06	76.82	 532.06	457.64	19.7
81	1	1	YES	377	375	 99.7%	99.7%	987.06	84.09	 987.06	359.64	20.7
82	1	1	YES	358	354	 99.2%	100.0%	1538.06	77.58	 1538.06	387.64	19.4
83	1	1	YES	359	357	 99.7%	100.0%	764.06	75.67	 764.06	384.64	20.0
84	1	1	YES	376	373	 99.5%	100.0%	1016.06	74.68	 1016.06	446.64	19.1
85	1	1	YES	339	337	 99.7%	100.0%	733.03	71.95	 733.03	556.64	18.8
