ALLELE	#ALLELIC_VARIANTS	#ALLELIC_CALLED	ALL_ALLELIC_CALLED	TOTAL_CALLED	ERROR_CALLED	 ERRORS_CALLED_CONF	ERRORS_CALLED_ALL	MEAN_QUAL_ALLELIC	MEAN_QUAL_ERRORS	MIN_QUAL_ALLELIC	 MAX_QUAL_ERRORS	MEAN_DEPTH
27	1	1	YES	56	55	 100.0%	100.0%	223.97	51.99	 223.97	108.64	4.9
28	1	0	NO	96	88	 91.7%	95.8%	0	56.61	 	362.05	4.0
29	1	1	YES	96	93	 97.9%	97.9%	111.84	52.55	 111.84	102.64	4.6
30	1	1	YES	75	73	 98.6%	100.0%	197.96	56.84	 197.96	177.64	4.7
31	1	1	YES	79	76	 97.4%	100.0%	153.14	61.0	 153.14	186.64	4.6
32	1	1	YES	83	81	 98.8%	100.0%	104.84	50.97	 104.84	132.64	4.4
33	1	1	YES	85	82	 97.6%	98.8%	201.97	55.54	 201.97	109.64	4.5
34	1	1	YES	63	60	 96.8%	98.4%	118.84	52.54	 118.84	105.64	4.6
35	2	2	YES	89	87	 100.0%	100.0%	140.64	50.49	 121.14	112.64	4.7
36	1	1	YES	104	98	 95.1%	98.1%	100.84	48.64	 100.84	88.64	4.5
37	1	1	YES	82	78	 96.3%	97.5%	227.97	51.13	 227.97	109.64	5.0
38	1	1	YES	92	90	 98.9%	100.0%	203.97	58.8	 203.97	145.64	4.8
39	1	1	YES	92	87	 95.6%	98.9%	115.84	57.41	 115.84	156.14	4.8
40	1	1	YES	84	83	 100.0%	100.0%	156.14	53.28	 156.14	106.84	5.3
41	1	1	YES	92	90	 98.9%	98.9%	156.14	54.76	 156.14	106.84	4.7
42	1	1	YES	89	86	 97.7%	100.0%	282.02	50.26	 282.02	111.84	4.9
43	1	1	YES	79	77	 98.7%	100.0%	32.48	56.1	 32.48	126.65	4.6
44	1	1	YES	93	91	 98.9%	100.0%	239.97	59.43	 239.97	131.64	5.0
45	1	1	YES	89	85	 96.6%	97.7%	310.04	55.94	 310.04	121.14	5.2
46	1	1	YES	62	61	 100.0%	100.0%	180.96	59.72	 180.96	144.64	5.4
47	1	1	YES	90	87	 97.8%	100.0%	72.32	54.11	 72.32	107.31	4.7
48	1	1	YES	73	70	 97.2%	98.6%	202.97	53.37	 202.97	96.64	5.3
49	1	1	YES	77	75	 98.7%	100.0%	200.96	52.15	 200.96	118.84	4.6
50	1	1	YES	79	78	 100.0%	100.0%	235.97	55.43	 235.97	107.64	4.8
51	1	1	YES	83	77	 93.9%	100.0%	100.84	54.62	 100.84	165.64	4.7
52	1	0	NO	62	61	 98.4%	100.0%	0	54.47	 	232.75	5.2
53	1	1	YES	67	65	 98.5%	100.0%	111.84	54.39	 111.84	184.64	4.1
54	1	1	YES	74	69	 94.5%	95.9%	153.14	53.05	 153.14	103.64	4.7
55	1	1	YES	111	106	 96.4%	100.0%	245.97	56.25	 245.97	168.64	4.6
56	1	1	YES	71	69	 98.6%	98.6%	227.97	59.03	 227.97	168.64	4.5
57	1	1	YES	86	81	 95.3%	100.0%	75.32	52.56	 75.32	103.64	4.5
58	1	0	NO	70	68	 97.1%	98.6%	0	56.75	 	148.64	4.7
59	1	1	YES	87	84	 97.7%	100.0%	72.32	55.23	 72.32	158.64	4.7
60	1	1	YES	93	88	 95.7%	98.9%	200.96	52.46	 200.96	147.64	4.9
61	2	2	YES	98	95	 99.0%	99.0%	153.91	60.96	 67.84	159.64	4.6
62	1	1	YES	98	92	 94.8%	96.9%	60.32	57.73	 60.32	163.14	4.8
63	1	1	YES	85	82	 97.6%	98.8%	141.14	56.62	 141.14	132.64	5.0
64	1	1	YES	100	95	 96.0%	97.0%	115.84	55.78	 115.84	147.64	4.4
65	1	1	YES	84	80	 96.4%	100.0%	72.32	59.19	 72.32	177.64	4.9
66	1	1	YES	79	74	 94.9%	96.2%	372.05	57.88	 372.05	119.64	4.7
67	1	1	YES	74	71	 97.3%	98.6%	111.84	51.12	 111.84	97.64	4.6
68	2	1	NO	75	71	 95.9%	98.6%	62.32	56.01	 62.32	109.64	4.9
69	1	1	YES	67	61	 92.4%	97.0%	185.96	55.44	 185.96	138.64	5.4
70	1	1	YES	102	98	 97.0%	99.0%	118.84	53.07	 118.84	112.64	4.4
71	2	2	YES	81	76	 96.2%	98.7%	222.59	55.78	 122.14	115.84	4.8
72	1	1	YES	84	83	 100.0%	100.0%	78.32	53.6	 78.32	154.64	4.7
73	1	1	YES	66	64	 98.5%	100.0%	311.04	55.89	 311.04	112.64	4.5
74	1	1	YES	109	104	 96.3%	99.1%	115.84	56.17	 115.84	123.64	4.4
75	1	1	YES	76	72	 96.0%	98.7%	115.84	54.13	 115.84	134.64	4.4
76	1	1	YES	73	72	 100.0%	100.0%	75.32	54.19	 75.32	138.64	4.3
77	1	0	NO	60	56	 93.3%	96.7%	0	51.91	 	105.64	4.5
78	1	1	YES	81	78	 97.5%	100.0%	75.32	61.67	 75.32	121.14	5.3
79	1	1	YES	79	76	 97.4%	100.0%	153.14	55.01	 153.14	135.64	4.5
80	1	1	YES	65	64	 100.0%	100.0%	156.14	61.32	 156.14	141.64	5.2
81	1	1	YES	87	83	 96.5%	100.0%	111.84	56.32	 111.84	132.64	4.9
82	1	1	YES	75	73	 98.6%	100.0%	360.05	56.42	 360.05	166.64	5.0
83	1	1	YES	65	63	 98.4%	100.0%	151.14	52.52	 151.14	108.64	4.8
84	1	1	YES	83	76	 92.7%	95.1%	121.14	56.26	 121.14	112.64	4.5
85	1	1	YES	69	64	 94.1%	98.5%	97.8	54.46	 97.8	105.64	4.8
